,rgi_id,MB_profile,exist_diff_total_winter_summer_above_100,len_mb_profile,len_summer_balance,len_winter_balance,len_annual_balance,len_winter_balance_filtered,len_summer_balance_filtered
RGI60-16.01383,RGI60-16.01383,True,False,11,0,0,11,0,0
RGI60-11.03246,RGI60-11.03246,False,False,0,0,0,0,0,0
RGI60-16.01339,RGI60-16.01339,True,False,21,0,0,25,0,0
RGI60-11.03209,RGI60-11.03209,True,False,25,23,23,28,7,7
RGI60-11.03638,RGI60-11.03638,False,False,0,0,0,41,0,0
RGI60-11.03671,RGI60-11.03671,False,False,0,0,0,25,0,0
RGI60-11.03643,RGI60-11.03643,False,False,0,0,0,0,0,0
RGI60-11.03232,RGI60-11.03232,False,False,0,18,18,18,18,18
RGI60-11.03674,RGI60-11.03674,False,False,0,0,0,41,0,0
RGI60-11.03756,RGI60-11.03756,False,False,0,40,40,41,17,17
RGI60-05.00446,RGI60-05.00446,False,False,0,9,9,9,9,9
RGI60-05.20030,RGI60-05.20030,True,False,10,9,9,12,9,9
RGI60-05.11186,RGI60-05.11186,True,False,8,13,13,24,0,0
RGI60-05.00115,RGI60-05.00115,False,False,0,5,5,5,0,0
RGI60-05.07217,RGI60-05.07217,False,False,0,5,5,7,5,5
RGI60-05.05149,RGI60-05.05149,False,False,0,5,5,5,1,1
RGI60-15.02942,RGI60-15.02942,False,False,0,0,0,7,0,0
RGI60-14.15990,RGI60-14.15990,False,True,0,9,9,19,0,0
RGI60-15.07605,RGI60-15.07605,False,False,0,0,0,15,0,0
RGI60-15.06777,RGI60-15.06777,False,False,0,0,0,6,0,0
RGI60-14.12365,RGI60-14.12365,False,False,0,0,0,7,0,0
RGI60-14.15556,RGI60-14.15556,False,False,0,0,0,11,0,0
RGI60-14.19543,RGI60-14.19543,False,False,0,0,0,6,0,0
RGI60-14.14311,RGI60-14.14311,False,False,0,0,0,7,0,0
RGI60-14.12323,RGI60-14.12323,False,False,0,0,0,13,0,0
RGI60-14.14383,RGI60-14.14383,False,False,0,0,0,5,0,0
RGI60-15.06557,RGI60-15.06557,False,False,0,0,0,7,0,0
RGI60-06.00483,RGI60-06.00483,False,False,0,5,5,7,0,0
RGI60-06.00377,RGI60-06.00377,False,False,0,16,16,27,0,0
RGI60-06.00477,RGI60-06.00477,False,False,0,15,15,22,0,0
RGI60-06.00472,RGI60-06.00472,False,False,0,21,21,28,0,0
RGI60-06.00234,RGI60-06.00234,False,False,0,29,29,31,7,7
RGI60-06.00238,RGI60-06.00238,False,False,0,15,15,32,9,9
RGI60-06.00236,RGI60-06.00236,False,False,0,12,12,30,6,6
RGI60-06.00424,RGI60-06.00424,False,False,0,18,18,26,0,0
RGI60-06.00310,RGI60-06.00310,False,False,0,15,15,23,0,0
RGI60-06.00513,RGI60-06.00513,False,False,0,6,6,6,0,0
