DDF_opt_mb_monthly_cte,stats_mb_monthly_cte,DDF_opt_mb_monthly_var_an_cycle,stats_mb_monthly_var_an_cycle,DDF_opt_mb_daily_cte,stats_mb_daily_cte,DDF_opt_mb_daily_var_an_cycle,stats_mb_daily_var_an_cycle,DDF_opt_mb_real_daily_cte,stats_mb_real_daily_cte,DDF_opt_mb_real_daily_var_an_cycle,stats_mb_real_daily_var_an_cycle
290.0745581338768,"{'RMSD': 130.64220295727156, 'bias': 4.799025828106096e-05, 'rcor': 0.6963311802319987, 'quot_std': 1.4915161074607035}",234.35576544456416,"{'RMSD': 117.01090139903903, 'bias': 0.00010109423521953431, 'rcor': 0.6966084897523271, 'quot_std': 1.335599975132976}",242.3421704169257,"{'RMSD': 111.09840813720267, 'bias': 0.5692395106201502, 'rcor': 0.7198311663924669, 'quot_std': 1.3115113087169785}",200.68655708961174,"{'RMSD': 102.95667378447602, 'bias': 0.49329688317038745, 'rcor': 0.7202060412883063, 'quot_std': 1.2052845386956321}",244.5521778808134,"{'RMSD': 104.1839670058056, 'bias': -8.5927416080267e-05, 'rcor': 0.7557778431155757, 'quot_std': 1.3051943393815917}",185.45284751881888,"{'RMSD': 94.24044931486618, 'bias': -4.438343762558361e-05, 'rcor': 0.7496956137050883, 'quot_std': 1.1535022597254345}"
253.51119983406466,"{'RMSD': 222.94296283741102, 'bias': 1.756729673729751e-05, 'rcor': 0.2719796101847029, 'quot_std': 1.3765444372340707}",210.85733331518108,"{'RMSD': 204.81095003356586, 'bias': 3.599272818632926e-05, 'rcor': 0.34101287250408097, 'quot_std': 1.3052954079201906}",216.42281267169838,"{'RMSD': 184.8829965243717, 'bias': 0.45863226259101, 'rcor': 0.4018351756973872, 'quot_std': 1.2051495546880713}",183.83488508178365,"{'RMSD': 175.87280062119606, 'bias': 0.40366782334115214, 'rcor': 0.4352893617417397, 'quot_std': 1.166445276979344}",219.10238845719633,"{'RMSD': 152.56754077208367, 'bias': 4.699751116277184e-06, 'rcor': 0.5210665976178617, 'quot_std': 1.060512983353474}",171.20674442085655,"{'RMSD': 149.30954121626914, 'bias': -3.13738794091023e-05, 'rcor': 0.47925741549694584, 'quot_std': 0.9462713772671982}"
213.56141289788533,"{'RMSD': 76.15815169682588, 'bias': -4.924632958136499e-05, 'rcor': 0.8683834610398007, 'quot_std': 1.6193793180344502}",195.32280374183233,"{'RMSD': 70.5757820935995, 'bias': 5.416301246441435e-05, 'rcor': 0.8675901890174657, 'quot_std': 1.5373684001776315}",181.0434596428964,"{'RMSD': 64.76918685574307, 'bias': 0.4197624763078238, 'rcor': 0.8691872333622952, 'quot_std': 1.4539945881911724}",167.20367880070364,"{'RMSD': 61.392878096294574, 'bias': 0.3968964332455016, 'rcor': 0.8688786404322545, 'quot_std': 1.4003073150489027}",180.419553610552,"{'RMSD': 61.55066637287166, 'bias': -7.098776620750868e-05, 'rcor': 0.8748693439730401, 'quot_std': 1.4180007785355044}",159.9127431873968,"{'RMSD': 56.32882934066279, 'bias': -0.00016983822979455, 'rcor': 0.8795871084167654, 'quot_std': 1.34611088795922}"
282.98067955233586,"{'RMSD': 301.4549851516351, 'bias': -5.5054428614198514e-05, 'rcor': 0.38207596426839047, 'quot_std': 1.6953611023853412}",235.2127933745379,"{'RMSD': 297.1491628845851, 'bias': -0.00010804607499892427, 'rcor': 0.34086728668009275, 'quot_std': 1.6214438707343264}",246.14339802657565,"{'RMSD': 262.3844496618948, 'bias': 0.4944579252313872, 'rcor': 0.3238016326804477, 'quot_std': 1.375820160077638}",208.26506059364579,"{'RMSD': 260.3941920367216, 'bias': 0.4349605839699393, 'rcor': 0.28431762703300545, 'quot_std': 1.3168915831356316}",248.57954377705866,"{'RMSD': 215.76539378618088, 'bias': 2.862252443947e-05, 'rcor': 0.4152795592998467, 'quot_std': 1.1562026488315773}",192.53008363694477,"{'RMSD': 210.49836852842347, 'bias': -7.794026927854247e-05, 'rcor': 0.34450498200495283, 'quot_std': 1.0192592954287734}"
,,,,,,,,,,,
182.94285983260028,"{'RMSD': 78.74652012381264, 'bias': 4.812288932498632e-05, 'rcor': 0.9340377556308196, 'quot_std': 0.9875106914243328}",169.14362787777043,"{'RMSD': 74.19746892274271, 'bias': -3.833313212453504e-05, 'rcor': 0.9394806907827269, 'quot_std': 0.9716016114126299}",155.70526859639435,"{'RMSD': 76.972694472701, 'bias': 0.37406332394471065, 'rcor': 0.9261760739518387, 'quot_std': 0.7518957941843158}",145.0742403455847,"{'RMSD': 74.70309954233103, 'bias': 0.3548388567310212, 'rcor': 0.9331967194261316, 'quot_std': 0.7380016042381324}",152.6702685082437,"{'RMSD': 89.1982415483414, 'bias': -0.00020373038807974808, 'rcor': 0.9007528138828335, 'quot_std': 0.7071241308419789}",137.4113431926481,"{'RMSD': 86.75304384213783, 'bias': -0.00015603805593400466, 'rcor': 0.9120074610921589, 'quot_std': 0.6840247724292465}"
277.9445235123041,"{'RMSD': 268.73818959233404, 'bias': 7.601467234508164e-05, 'rcor': 0.8128199152785976, 'quot_std': 2.0383826642642378}",245.99552293439143,"{'RMSD': 240.7255173613838, 'bias': -9.33925703066052e-05, 'rcor': 0.8221235757802832, 'quot_std': 1.894683365627019}",246.50744002885443,"{'RMSD': 241.45445139448108, 'bias': 0.4655710391625689, 'rcor': 0.8290213173595247, 'quot_std': 1.910137334417209}",220.19337362228,"{'RMSD': 222.54603490203138, 'bias': 0.4333574695219795, 'rcor': 0.8329391813985376, 'quot_std': 1.80823852316537}",247.4285714027731,"{'RMSD': 232.20121077354045, 'bias': -5.5563167506988975e-05, 'rcor': 0.834687806535792, 'quot_std': 1.8667500076477042}",210.0572635782154,"{'RMSD': 208.07389924710182, 'bias': -5.305391118781699e-05, 'rcor': 0.8442501843604511, 'quot_std': 1.7438039155321658}"
177.02630869368065,"{'RMSD': 297.5604236311819, 'bias': 5.575956026859785e-05, 'rcor': 0.4506403272753379, 'quot_std': 2.1249136411837175}",165.8819132122704,"{'RMSD': 279.529255973625, 'bias': 3.5229129593972175e-05, 'rcor': 0.4960389207327966, 'quot_std': 2.049867288456445}",161.7759724420993,"{'RMSD': 276.59742308682075, 'bias': 0.36336994655482613, 'rcor': 0.4708816097435096, 'quot_std': 1.9989472610216865}",151.4625475290089,"{'RMSD': 260.14054825588437, 'bias': 0.34544784940487716, 'rcor': 0.5145660556443213, 'quot_std': 1.9326865809320877}",161.57951886555185,"{'RMSD': 252.2400003568338, 'bias': 8.073065635016974e-05, 'rcor': 0.6115729152355329, 'quot_std': 1.9979406479112385}",146.04653994161112,"{'RMSD': 228.87569680395342, 'bias': -7.028548225207487e-06, 'rcor': 0.6222602335264633, 'quot_std': 1.8426755306995009}"
199.13709638129325,"{'RMSD': 285.2386409667284, 'bias': -5.9176784816372674e-05, 'rcor': 0.717620112682311, 'quot_std': 1.3118263269372583}",185.2058385338317,"{'RMSD': 266.8627283030511, 'bias': -2.9202825999163906e-05, 'rcor': 0.7405570421645944, 'quot_std': 1.271841355462641}",181.97020718225315,"{'RMSD': 257.8367766749254, 'bias': 0.3830210528824409, 'rcor': 0.7405230457411941, 'quot_std': 1.2294576766411691}",169.0851962102474,"{'RMSD': 239.92242097744656, 'bias': 0.36896897070403156, 'rcor': 0.7649786216549659, 'quot_std': 1.1937331834781795}",182.81898388618632,"{'RMSD': 223.71059415943986, 'bias': -0.00015840397986721655, 'rcor': 0.833626262725012, 'quot_std': 1.2705953171530409}",163.0225912841771,"{'RMSD': 198.32121209186832, 'bias': -0.0002736249202826002, 'rcor': 0.8410450559635696, 'quot_std': 1.1677857719314393}"
409.21670693351234,"{'RMSD': 144.06148160894173, 'bias': 2.2791480432715616e-05, 'rcor': 0.8479330209673741, 'quot_std': 1.987264109711269}",363.4775505540836,"{'RMSD': 137.7504653964417, 'bias': 0.00012491776828937873, 'rcor': 0.8527470962270228, 'quot_std': 1.9342812351216825}",341.78401094861175,"{'RMSD': 121.12713499484354, 'bias': 0.6692315679542844, 'rcor': 0.8742734603734292, 'quot_std': 1.8099692123215823}",307.0844880652057,"{'RMSD': 116.65382322035632, 'bias': 0.6295518768283728, 'rcor': 0.8748538792534907, 'quot_std': 1.7668499471185348}",332.3250767950557,"{'RMSD': 115.63830490256082, 'bias': -4.789699602270048e-05, 'rcor': 0.8675389865461737, 'quot_std': 1.742907035500379}",283.90006588485664,"{'RMSD': 108.87280055736544, 'bias': 4.2480649426579475e-05, 'rcor': 0.8679624264164724, 'quot_std': 1.675292581303308}"
