,linear_tau0.5yr_updatemonthly_mb_fb_monthly,linear_tau0.5yr_updatemonthly_mb_fb_annual,linear_tau1yr_updatemonthly_mb_fb_monthly,linear_tau1yr_updatemonthly_mb_fb_annual,neg_exp_tau0.5yr_updatemonthly_mb_fb_monthly,neg_exp_tau0.5yr_updatemonthly_mb_fb_annual,neg_exp_tau1yr_updatemonthly_mb_fb_monthly,neg_exp_tau1yr_updatemonthly_mb_fb_annual
2079,3165118979.37758,3174703285.0933576,3165118979.37758,3174703285.0933576,3165118979.37758,3174703285.0933576,3165118979.37758,3174703285.0933576
2080,3203525251.664813,3195805873.873008,3203525251.664813,3195805873.873008,3203525251.664813,3195805873.873008,3203525251.664813,3195805873.873008
2081,3238042117.384406,3237880413.97959,3238042117.384406,3237880413.97959,3238042117.384406,3237880413.97959,3238042117.384406,3237880413.97959
2082,3260977622.143777,3280207803.1493545,3260977622.143777,3280207803.1493545,3260977622.143777,3280207803.1493545,3260977622.143777,3280207803.1493545
2083,3367521905.052832,3357888060.87166,3367521905.052832,3357888060.87166,3367521905.052832,3357888060.87166,3367521905.052832,3357888060.87166
2084,3399259895.733287,3408922991.299268,3399259895.733287,3408922991.299268,3399259895.733287,3408922991.299268,3399259895.733287,3408922991.299268
2085,3396758999.699706,3383589600.629021,3396758999.699706,3383589600.629021,3396758999.699706,3383589600.629021,3396758999.699706,3383589600.629021
2086,3365208708.195034,3383644865.2938213,3365208708.195034,3383644865.2938213,3365208708.195034,3383644865.2938213,3365208708.195034,3383644865.2938213
2087,3512127250.6144137,3508237748.603093,3512127250.6144137,3508237748.603093,3512127250.6144137,3508237748.603093,3512127250.6144137,3508237748.603093
2088,3617497674.8567047,3610690755.229323,3617497674.8567047,3610690755.229323,3617497674.8567047,3610690755.229323,3617497674.8567047,3610690755.229323
2089,3636868741.725828,3640835216.399008,3636868741.725828,3640835216.399008,3636868741.725828,3640835216.399008,3636868741.725828,3640835216.399008
2090,3683367425.060144,3689257312.592603,3683367425.060144,3689257312.592603,3683367425.060144,3689257312.592603,3683367425.060144,3689257312.592603
2091,3771698908.5719023,3774333724.048388,3771698908.5719023,3774333724.048388,3771698908.5719023,3774333724.048388,3771698908.5719023,3774333724.048388
2092,3764864462.276473,3770357686.164845,3764864462.276473,3770357686.164845,3764864462.276473,3770357686.164845,3764864462.276473,3770357686.164845
2093,3866400002.658081,3868045232.180421,3866400002.658081,3868045232.180421,3866400002.658081,3868045232.180421,3866400002.658081,3868045232.180421
2094,3970227349.386675,3961611960.529933,3970227349.386675,3961611960.529933,3970227349.386675,3961611960.529933,3970227349.386675,3961611960.529933
2095,4047984834.530373,4008375027.823752,4047984834.530373,4008375027.823752,4047984834.530373,4008375027.823752,4047984834.530373,4008375027.823752
2096,4234437023.136853,4214666098.317039,4234437023.136853,4214666098.317039,4234437023.136853,4214666098.317039,4234437023.136853,4214666098.317039
2097,4275072380.427745,4268449619.428406,4275072380.427745,4268449619.428406,4275072380.427745,4268449619.428406,4275072380.427745,4268449619.428406
2098,4207694727.5829687,4202910221.0132246,4207694727.5829687,4202910221.0132246,4207694727.5829687,4202910221.0132246,4207694727.5829687,4202910221.0132246
2099,4099116414.5897074,4111269517.28229,4099116414.5897074,4111269517.28229,4099116414.5897074,4111269517.28229,4099116414.5897074,4111269517.28229
2100,4087300553.708193,4087012384.16309,4087300553.708193,4087012384.16309,4087300553.708193,4087012384.16309,4087300553.708193,4087012384.16309
