,linear_tau0.5yr_updateannual_mb_fb_monthly,linear_tau0.5yr_updateannual_mb_fb_annual,linear_tau1yr_updateannual_mb_fb_monthly,linear_tau1yr_updateannual_mb_fb_annual,neg_exp_tau0.5yr_updateannual_mb_fb_monthly,neg_exp_tau0.5yr_updateannual_mb_fb_annual,neg_exp_tau1yr_updateannual_mb_fb_monthly,neg_exp_tau1yr_updateannual_mb_fb_annual
2058,4514576747.533338,5146859147.31966,4514576747.533338,5146859147.31966,4334449660.621716,5124250367.973665,4388365739.4110985,5127440565.654907
2059,4653077241.55028,5282627591.78652,4653077241.55028,5282627591.78652,4471182131.802627,5260491200.368303,4525284162.157797,5263407706.280991
2060,4549031480.99887,5188458833.024437,4549031480.99887,5188458833.024437,4328943904.742418,5158919321.210145,4383306451.3000145,5163727386.06532
2061,4509622593.050208,5154394729.92338,4509622593.050208,5154394729.92338,4289841040.3581305,5124951131.542017,4342530190.884193,5129544387.420982
2062,4508999498.843147,5152089929.646814,4508999498.843147,5152089929.646814,4296842457.797925,5129998109.94903,4350594056.83582,5133432693.9316025
2063,4556258400.031399,5213026418.561714,4556258400.031399,5213026418.561714,4343219600.830598,5191561891.989069,4397655006.568199,5194690865.926175
2064,4598636049.479995,5244854615.874056,4598636049.479995,5244854615.874056,4383090671.241465,5224067195.341065,4434888532.337766,5226900839.73094
2065,4373174112.070454,4997543940.602124,4373174112.070454,4997543940.602124,4133804104.341193,4959656722.780901,4193763500.9231405,4966934700.235271
2066,4267438413.7082043,4883056895.889359,4267438413.7082043,4883056895.889359,4019344405.8230333,4844902470.138428,4080424768.024861,4851945184.662911
2067,4068845057.021359,4677609834.709036,4068845057.021359,4677609834.709036,3814439456.7586346,4638133938.868494,3873010683.4993124,4645083922.221287
2068,3970281878.0841627,4581510491.423616,3970281878.0841627,4581510491.423616,3748359049.1207886,4548059530.628236,3793312984.1485925,4554035120.561912
2069,3874326843.637231,4514627275.345382,3874326843.637231,4514627275.345382,3677202195.8324876,4481945307.170305,3724842071.0281973,4487598152.003088
2070,3864997518.1957207,4518239686.212744,3864997518.1957207,4518239686.212744,3680423084.9761515,4485940094.2850685,3729447002.5579233,4491349774.73583
2071,3798348713.5910263,4444010142.287729,3798348713.5910263,4444010142.287729,3630938337.405412,4412050873.926911,3670533014.510062,4417238728.186323
2072,3958022982.5905914,4593364499.544519,3958022982.5905914,4593364499.544519,3797753601.788639,4566916075.960994,3829513495.908595,4570802004.052501
2073,4146368473.32164,4774855146.389931,4146368473.32164,4774855146.389931,3990914905.3584957,4749301901.891248,4020824764.1635985,4753011211.614941
2074,4253357121.0543756,4873467629.420699,4253357121.0543756,4873467629.420699,4096901141.6936865,4846424446.834009,4130081148.919447,4850428455.827069
2075,4370747723.835682,4970189148.852661,4370747723.835682,4970189148.852661,4216621361.026471,4942515357.448232,4251651335.48674,4946368740.827621
2076,4295465667.112234,4870944366.47999,4295465667.112234,4870944366.47999,4128533009.816519,4828537607.256548,4166626417.5123215,4835191631.392172
2077,4417922959.28807,4995543441.546672,4417922959.28807,4995543441.546672,4254853500.5128193,4953139869.171865,4285295550.1228337,4959612872.244051
2078,4499541315.661289,5071280002.665759,4499541315.661289,5071280002.665759,4328598194.690909,5028089303.264988,4362521879.274145,5034646177.331651
2079,4359540411.0375395,4934842311.4928055,4359540411.0375395,4934842311.4928055,4170678387.9926157,4881325564.979,4214046364.2846136,4890346277.210634
2080,4374507920.148247,4957212276.689047,4374507920.148247,4957212276.689047,4188823444.4707155,4903944648.996208,4233713709.0909977,4912711783.916977
2081,4426500474.408744,5028276848.013046,4426500474.408744,5028276848.013046,4241751690.223358,4976187882.964314,4287340131.4867992,4984694963.800682
2082,4496600639.332162,5114894349.80396,4496600639.332162,5114894349.80396,4314239691.094959,5067021649.5946865,4354210973.806802,5075097708.305737
2083,4603222499.535604,5200745190.852067,4603222499.535604,5200745190.852067,4424257192.253901,5158232439.430579,4465003213.392512,5164824545.458972
2084,4681281459.2634325,5285111456.586071,4681281459.2634325,5285111456.586071,4509218297.619804,5242600793.119531,4550817532.531537,5248923124.442265
2085,4637759665.47717,5244180265.767227,4637759665.47717,5244180265.767227,4443579252.285037,5198251831.775036,4494372242.1907,5205287565.763811
2086,4619576125.750843,5243028327.7023945,4619576125.750843,5243028327.7023945,4426193119.65209,5198033949.92083,4473110662.068538,5204910672.711145
2087,4766407998.705859,5386648737.363275,4766407998.705859,5386648737.363275,4578303129.040707,5348330360.135694,4620420983.934364,5354467755.120864
2088,4901679077.928072,5528858746.432772,4901679077.928072,5528858746.432772,4715172163.504356,5492667947.685316,4758673535.803394,5497766959.879292
2089,4979473378.404957,5620000493.968196,4979473378.404957,5620000493.968196,4791043417.909641,5583874559.893274,4836499215.134746,5588706890.028285
2090,5046815778.727968,5689903975.697667,5046815778.727968,5689903975.697667,4859617603.327893,5657228039.1845875,4899467184.036987,5661722372.301743
2091,5171465322.493744,5797056467.631185,5171465322.493744,5797056467.631185,4991495555.99482,5770960196.429908,5032276031.726006,5773921298.519431
2092,5171606329.264284,5790702028.293762,5171606329.264284,5790702028.293762,4986601673.89265,5760799077.407428,5030981192.074166,5764727867.999821
2093,5347780237.708672,5958561357.092529,5347780237.708672,5958561357.092529,5165691901.4554615,5929718416.008562,5204398039.495788,5933442494.455858
2094,5456254003.256609,6068218927.516335,5456254003.256609,6068218927.516335,5275360165.887238,6043032482.784035,5315955922.979037,6045925059.429434
2095,5536045249.717365,6152471622.387039,5536045249.717365,6152471622.387039,5345558087.470282,6127203519.329081,5389071168.371818,6129781856.99188
2096,5766416806.52871,6394799767.517113,5766416806.52871,6394799767.517113,5577508905.062746,6372825109.843058,5621543133.3572,6374844636.797068
2097,5789156982.426353,6414537004.858431,5789156982.426353,6414537004.858431,5591848958.304632,6390235352.208349,5641639823.118212,6392859343.1651535
2098,5702221426.164719,6318557498.492995,5702221426.164719,6318557498.492995,5494791452.937068,6286398888.144609,5541948987.038183,6290194333.133245
2099,5600601599.374068,6211730369.590906,5600601599.374068,6211730369.590906,5389094972.724509,6178429833.388319,5436785231.082712,6182112295.480917
2100,5442432742.650419,6068179141.974382,5442432742.650419,6068179141.974382,5228223351.715654,6039582760.703683,5280485301.966321,6042460953.488153
