,Year,BEGIN_PERIOD,END_PERIOD,END_WINTER,WGMS_ID,TIME_SYSTEM,month_END_WINTER,day_END_WINTER,month_BEGIN_PERIOD,day_BEGIN_PERIOD,month_END_PERIOD,day_END_PERIOD,rgi_id,at_least_5_winter_mb,at_least_10_annual_mb
2049,1983,1982-09-15,1983-09-15,1983-05-01,3332,,5.0,1.0,9.0,15.0,9.0,15.0,RGI60-11.02679,True,True
2050,1984,1983-09-15,1984-09-15,1984-05-01,3332,,5.0,1.0,9.0,15.0,9.0,15.0,RGI60-11.02679,True,True
2052,1986,1985-09-15,1986-09-15,1986-05-01,3332,,5.0,1.0,9.0,15.0,9.0,15.0,RGI60-11.02679,True,True
2055,1989,1988-09-15,1989-10-02,1989-05-01,3332,,5.0,1.0,9.0,15.0,10.0,2.0,RGI60-11.02679,True,True
2083,2017,2016-08-22,2017-08-21,2017-04-30,3332,FLO,4.0,30.0,8.0,22.0,8.0,21.0,RGI60-11.02679,True,True
2084,2018,2017-08-21,2018-09-06,2018-04-30,3332,FLO,4.0,30.0,8.0,21.0,9.0,6.0,RGI60-11.02679,True,True
2118,1981,1980-09-15,1981-09-15,1981-05-01,393,,5.0,1.0,9.0,15.0,9.0,15.0,RGI60-11.02671,False,True
2119,1982,1981-09-15,1982-09-15,1982-05-01,393,,5.0,1.0,9.0,15.0,9.0,15.0,RGI60-11.02671,False,True
2165,1980,1979-08-30,1980-09-01,1980-05-01,421,,5.0,1.0,8.0,30.0,9.0,1.0,RGI60-11.00918,True,False
2166,1981,1980-09-01,1981-09-01,1981-05-01,421,,5.0,1.0,9.0,1.0,9.0,1.0,RGI60-11.00918,True,False
2167,1982,1981-09-01,1982-08-30,1982-05-01,421,,5.0,1.0,9.0,1.0,8.0,30.0,RGI60-11.00918,True,False
2168,1983,1982-08-30,1983-08-31,1983-05-01,421,,5.0,1.0,8.0,30.0,8.0,31.0,RGI60-11.00918,True,False
2169,1984,1983-08-31,1984-09-01,1984-05-01,421,,5.0,1.0,8.0,31.0,9.0,1.0,RGI60-11.00918,True,False
2186,2013,2012-09-28,2013-09-01,2013-04-19,4339,FLO,4.0,19.0,9.0,28.0,9.0,1.0,RGI60-11.02024,True,False
2187,2014,2013-09-01,2014-08-31,2014-04-15,4339,FLO,4.0,15.0,9.0,1.0,8.0,31.0,RGI60-11.02024,True,False
2188,2015,2014-10-04,2015-09-19,2015-04-19,4339,FLO,4.0,19.0,10.0,4.0,9.0,19.0,RGI60-11.02024,True,False
2189,2016,2015-09-19,2016-09-25,2016-04-10,4339,FLO,4.0,10.0,9.0,19.0,9.0,25.0,RGI60-11.02024,True,False
2190,2017,2016-09-25,2017-09-13,2017-04-24,4339,FLO,4.0,24.0,9.0,25.0,9.0,13.0,RGI60-11.02024,True,False
2191,2018,2017-09-13,2018-09-16,2018-04-07,4339,FLO,4.0,7.0,9.0,13.0,9.0,16.0,RGI60-11.02024,True,False
2192,2019,2018-09-16,2019-09-21,2019-04-22,4339,FLO,4.0,22.0,9.0,16.0,9.0,21.0,RGI60-11.02024,True,False
2214,2007,2006-09-13,2007-09-03,2007-04-02,417,FLO,4.0,2.0,9.0,13.0,9.0,3.0,RGI60-11.00638,True,True
2215,2008,2007-02-03,2008-09-25,2008-04-02,417,FLO,4.0,2.0,2.0,3.0,9.0,25.0,RGI60-11.00638,True,True
2216,2009,2008-09-25,2009-09-13,2009-04-07,417,FLO,4.0,7.0,9.0,25.0,9.0,13.0,RGI60-11.00638,True,True
2217,2010,2009-09-13,2010-09-22,2010-04-02,417,FLO,4.0,2.0,9.0,13.0,9.0,22.0,RGI60-11.00638,True,True
2218,2011,2010-09-22,2011-09-24,2011-03-26,417,FLO,3.0,26.0,9.0,22.0,9.0,24.0,RGI60-11.00638,True,True
2219,2012,2012-09-21,2013-09-23,2013-03-30,417,FLO,3.0,30.0,9.0,21.0,9.0,23.0,RGI60-11.00638,True,True
2221,2014,2013-09-23,2014-09-20,2014-03-31,417,FLO,3.0,31.0,9.0,23.0,9.0,20.0,RGI60-11.00638,True,True
2222,2015,2014-09-20,2015-09-27,2015-05-11,417,FLO,5.0,11.0,9.0,20.0,9.0,27.0,RGI60-11.00638,True,True
2223,2016,2015-09-27,2016-09-24,2016-03-28,417,FLO,3.0,28.0,9.0,27.0,9.0,24.0,RGI60-11.00638,True,True
2224,2017,2016-09-24,2017-09-29,2017-03-16,417,FLO,3.0,16.0,9.0,24.0,9.0,29.0,RGI60-11.00638,True,True
2225,2018,2017-09-29,2018-10-16,2018-03-24,417,FLO,3.0,24.0,9.0,29.0,10.0,16.0,RGI60-11.00638,True,True
2226,2019,2018-10-16,2019-09-22,2019-03-30,417,FLO,3.0,30.0,10.0,16.0,9.0,22.0,RGI60-11.00638,True,True
2227,2010,2009-10-10,2010-09-12,2010-04-06,4630,FLO,4.0,6.0,10.0,10.0,9.0,12.0,RGI60-11.02072,True,True
2228,2011,2010-09-12,2011-10-02,2011-04-06,4630,FLO,4.0,6.0,9.0,12.0,10.0,2.0,RGI60-11.02072,True,True
2229,2012,2011-10-02,2012-09-02,2012-04-26,4630,FLO,4.0,26.0,10.0,2.0,9.0,2.0,RGI60-11.02072,True,True
2230,2013,2012-09-02,2013-10-02,2013-04-16,4630,FLO,4.0,16.0,9.0,2.0,10.0,2.0,RGI60-11.02072,True,True
2231,2014,2013-10-02,2014-09-28,2014-03-28,4630,FLO,3.0,28.0,10.0,2.0,9.0,28.0,RGI60-11.02072,True,True
2232,2015,2014-09-28,2015-10-23,2015-04-10,4630,FLO,4.0,10.0,9.0,28.0,10.0,23.0,RGI60-11.02072,True,True
2233,2016,2015-10-23,2016-10-06,2016-03-30,4630,FLO,3.0,30.0,10.0,23.0,10.0,6.0,RGI60-11.02072,True,True
2234,2017,2016-10-06,2017-10-11,2017-05-10,4630,FLO,5.0,10.0,10.0,6.0,10.0,11.0,RGI60-11.02072,True,True
2235,2018,2017-10-11,2018-09-30,2018-04-06,4630,FLO,4.0,6.0,10.0,11.0,9.0,30.0,RGI60-11.02072,True,True
2236,2019,2018-09-30,2019-09-30,2019-04-02,4630,FLO,4.0,2.0,9.0,30.0,9.0,30.0,RGI60-11.02072,True,True
2269,1980,1979-08-30,1980-09-01,1980-05-01,420,,5.0,1.0,8.0,30.0,9.0,1.0,RGI60-11.00892,True,True
2270,1981,1980-09-01,1981-09-01,1981-05-01,420,,5.0,1.0,9.0,1.0,9.0,1.0,RGI60-11.00892,True,True
2271,1982,1981-09-01,1982-08-30,1982-05-01,420,,5.0,1.0,9.0,1.0,8.0,30.0,RGI60-11.00892,True,True
2272,1983,1982-08-30,1983-08-31,1983-05-01,420,,5.0,1.0,8.0,30.0,8.0,31.0,RGI60-11.00892,True,True
2273,1984,1983-08-31,1984-09-01,1984-05-01,420,,5.0,1.0,8.0,31.0,9.0,1.0,RGI60-11.00892,True,True
2304,1980,1979-09-20,1980-09-16,1980-04-14,473,FXD,4.0,14.0,9.0,20.0,9.0,16.0,RGI60-11.01238,True,True
2305,1981,1980-09-16,1981-10-02,1981-05-03,473,FXD,5.0,3.0,9.0,16.0,10.0,2.0,RGI60-11.01238,True,True
2306,1982,1981-10-02,1982-09-18,1982-04-18,473,FXD,4.0,18.0,10.0,2.0,9.0,18.0,RGI60-11.01238,True,True
2314,2013,2012-09-11,2013-09-23,2013-04-25,473,OTH,4.0,25.0,9.0,11.0,9.0,23.0,RGI60-11.01238,True,True
2315,2014,2013-09-27,2014-09-12,2014-04-10,473,FLO,4.0,10.0,9.0,27.0,9.0,12.0,RGI60-11.01238,True,True
2316,2015,2014-09-10,2015-09-10,2015-04-22,473,FLO,4.0,22.0,9.0,10.0,9.0,10.0,RGI60-11.01238,True,True
2317,2016,2015-09-10,2016-09-20,2016-04-29,473,FLO,4.0,29.0,9.0,10.0,9.0,20.0,RGI60-11.01238,True,True
2318,2017,2016-09-20,2017-09-26,2017-04-21,473,FLO,4.0,21.0,9.0,20.0,9.0,26.0,RGI60-11.01238,True,True
2319,2018,2017-09-26,2018-09-12,2018-04-24,473,FLO,4.0,24.0,9.0,26.0,9.0,12.0,RGI60-11.01238,True,True
2320,2019,2018-09-12,2019-08-12,2019-04-18,473,FLO,4.0,18.0,9.0,12.0,8.0,12.0,RGI60-11.01238,True,True
2321,2012,2011-10-01,2012-10-03,2012-04-12,432,FLO,4.0,12.0,10.0,1.0,10.0,3.0,RGI60-11.01367,True,False
2322,2013,2012-10-03,2013-10-02,2013-03-13,432,FLO,3.0,13.0,10.0,3.0,10.0,2.0,RGI60-11.01367,True,False
2323,2014,2013-10-02,2014-09-23,2014-04-10,432,FLO,4.0,10.0,10.0,2.0,9.0,23.0,RGI60-11.01367,True,False
2324,2015,2014-09-23,2015-09-28,2015-04-15,432,FLO,4.0,15.0,9.0,23.0,9.0,28.0,RGI60-11.01367,True,False
2325,2016,2015-09-28,2016-10-03,2016-04-15,432,FLO,4.0,15.0,9.0,28.0,10.0,3.0,RGI60-11.01367,True,False
2326,2017,2016-10-03,2017-09-24,2017-04-22,432,FLO,4.0,22.0,10.0,3.0,9.0,24.0,RGI60-11.01367,True,False
2327,2018,2017-09-24,2018-09-20,2018-04-19,432,FLO,4.0,19.0,9.0,24.0,9.0,20.0,RGI60-11.01367,True,False
2328,2019,2018-09-20,2019-09-19,2019-05-10,432,FLO,5.0,10.0,9.0,20.0,9.0,19.0,RGI60-11.01367,True,False
2329,2013,2012-10-03,2013-09-07,2013-04-14,4340,FLO,4.0,14.0,10.0,3.0,9.0,7.0,RGI60-11.01376,True,False
2330,2014,2013-09-07,2014-09-24,2014-04-11,4340,FLO,4.0,11.0,9.0,7.0,9.0,24.0,RGI60-11.01376,True,False
2331,2015,2014-09-24,2015-09-28,2015-04-15,4340,FLO,4.0,15.0,9.0,24.0,9.0,28.0,RGI60-11.01376,True,False
2332,2016,2015-09-28,2016-10-03,2016-04-15,4340,FLO,4.0,15.0,9.0,28.0,10.0,3.0,RGI60-11.01376,True,False
2333,2017,2016-10-03,2017-09-24,2017-04-22,4340,FLO,4.0,22.0,10.0,3.0,9.0,24.0,RGI60-11.01376,True,False
2334,2018,2017-09-24,2018-09-20,2018-04-19,4340,FLO,4.0,19.0,9.0,24.0,9.0,20.0,RGI60-11.01376,True,False
2335,2019,2018-09-20,2019-09-19,2019-05-10,4340,FLO,5.0,10.0,9.0,20.0,9.0,19.0,RGI60-11.01376,True,False
2397,2017,2016-08-22,2017-08-21,2017-04-30,395,FLO,4.0,30.0,8.0,22.0,8.0,21.0,RGI60-11.02746,False,True
2398,2018,2017-08-21,2018-09-06,2018-04-30,395,FLO,4.0,30.0,8.0,21.0,9.0,6.0,RGI60-11.02746,False,True
2469,1980,1979-10-01,1980-09-30,1980-04-30,408,FXD,4.0,30.0,10.0,1.0,9.0,30.0,RGI60-11.00804,True,True
2470,1981,1980-10-01,1981-09-30,1981-04-30,408,FXD,4.0,30.0,10.0,1.0,9.0,30.0,RGI60-11.00804,True,True
2471,1982,1981-10-01,1982-09-30,1982-04-30,408,FXD,4.0,30.0,10.0,1.0,9.0,30.0,RGI60-11.00804,True,True
2472,1983,1982-10-01,1983-09-30,1983-04-30,408,FXD,4.0,30.0,10.0,1.0,9.0,30.0,RGI60-11.00804,True,True
2473,1984,1983-10-01,1984-09-30,1984-04-30,408,FXD,4.0,30.0,10.0,1.0,9.0,30.0,RGI60-11.00804,True,True
2474,1985,1984-10-01,1985-09-30,1985-04-30,408,FXD,4.0,30.0,10.0,1.0,9.0,30.0,RGI60-11.00804,True,True
2475,1986,1985-10-01,1986-09-30,1986-04-30,408,FXD,4.0,30.0,10.0,1.0,9.0,30.0,RGI60-11.00804,True,True
2476,1987,1986-10-01,1987-09-30,1987-04-30,408,FXD,4.0,30.0,10.0,1.0,9.0,30.0,RGI60-11.00804,True,True
2477,1988,1987-10-01,1988-09-30,1988-04-30,408,FXD,4.0,30.0,10.0,1.0,9.0,30.0,RGI60-11.00804,True,True
2478,1989,1988-10-01,1989-09-30,1989-04-30,408,FXD,4.0,30.0,10.0,1.0,9.0,30.0,RGI60-11.00804,True,True
2479,1990,1989-10-01,1990-09-30,1990-04-30,408,FXD,4.0,30.0,10.0,1.0,9.0,30.0,RGI60-11.00804,True,True
2480,1991,1990-10-01,1991-09-30,1991-04-30,408,FXD,4.0,30.0,10.0,1.0,9.0,30.0,RGI60-11.00804,True,True
2481,1992,1991-10-01,1992-09-30,1992-04-30,408,FXD,4.0,30.0,10.0,1.0,9.0,30.0,RGI60-11.00804,True,True
2482,1993,1992-10-01,1993-09-30,1993-04-30,408,FXD,4.0,30.0,10.0,1.0,9.0,30.0,RGI60-11.00804,True,True
2483,1994,1993-10-01,1994-09-30,1994-04-30,408,FXD,4.0,30.0,10.0,1.0,9.0,30.0,RGI60-11.00804,True,True
2484,1995,1994-10-01,1995-09-30,1995-04-30,408,FXD,4.0,30.0,10.0,1.0,9.0,30.0,RGI60-11.00804,True,True
2485,1996,1995-10-01,1996-09-30,1996-04-30,408,FXD,4.0,30.0,10.0,1.0,9.0,30.0,RGI60-11.00804,True,True
2486,1997,1996-10-01,1997-09-30,1997-04-30,408,FXD,4.0,30.0,10.0,1.0,9.0,30.0,RGI60-11.00804,True,True
2487,1998,1997-10-01,1998-09-30,1998-04-30,408,FXD,4.0,30.0,10.0,1.0,9.0,30.0,RGI60-11.00804,True,True
2488,1999,1998-10-01,1999-09-30,1999-04-30,408,FXD,4.0,30.0,10.0,1.0,9.0,30.0,RGI60-11.00804,True,True
2489,2000,1999-10-01,2000-09-30,2000-04-30,408,FXD,4.0,30.0,10.0,1.0,9.0,30.0,RGI60-11.00804,True,True
2490,2001,2000-10-01,2001-09-30,2001-04-30,408,FXD,4.0,30.0,10.0,1.0,9.0,30.0,RGI60-11.00804,True,True
2491,2002,2001-10-01,2002-09-30,2002-04-30,408,FXD,4.0,30.0,10.0,1.0,9.0,30.0,RGI60-11.00804,True,True
2492,2003,2002-10-01,2003-09-30,2003-04-30,408,FXD,4.0,30.0,10.0,1.0,9.0,30.0,RGI60-11.00804,True,True
2493,2004,2003-10-01,2004-09-30,2004-04-30,408,FXD,4.0,30.0,10.0,1.0,9.0,30.0,RGI60-11.00804,True,True
2494,2005,2004-10-01,2005-09-30,2005-04-30,408,FXD,4.0,30.0,10.0,1.0,9.0,30.0,RGI60-11.00804,True,True
2495,2006,2005-10-01,2006-09-30,2006-04-30,408,FXD,4.0,30.0,10.0,1.0,9.0,30.0,RGI60-11.00804,True,True
2496,2007,2006-10-01,2007-09-30,2007-04-30,408,FXD,4.0,30.0,10.0,1.0,9.0,30.0,RGI60-11.00804,True,True
2497,2008,2007-09-16,2008-09-20,2008-05-25,408,OTH,5.0,25.0,9.0,16.0,9.0,20.0,RGI60-11.00804,True,True
2498,2009,2008-09-20,2009-09-26,2009-05-20,408,OTH,5.0,20.0,9.0,20.0,9.0,26.0,RGI60-11.00804,True,True
2501,2012,2011-09-11,2012-09-23,2012-05-26,408,OTH,5.0,26.0,9.0,11.0,9.0,23.0,RGI60-11.00804,True,True
2502,2013,2012-09-23,2013-09-22,2013-05-06,408,OTH,5.0,6.0,9.0,23.0,9.0,22.0,RGI60-11.00804,True,True
2503,2014,2013-09-22,2014-09-20,2014-04-24,408,FLO,4.0,24.0,9.0,22.0,9.0,20.0,RGI60-11.00804,True,True
2504,2015,2014-09-20,2015-09-25,2015-05-04,408,FLO,5.0,4.0,9.0,20.0,9.0,25.0,RGI60-11.00804,True,True
2505,2016,2015-09-26,2016-09-24,2016-05-07,408,FLO,5.0,7.0,9.0,26.0,9.0,24.0,RGI60-11.00804,True,True
2506,2017,2016-09-23,2017-09-29,2017-05-05,408,FLO,5.0,5.0,9.0,23.0,9.0,29.0,RGI60-11.00804,True,True
2507,2018,2017-09-30,2018-09-08,2018-05-19,408,FLO,5.0,19.0,9.0,30.0,9.0,8.0,RGI60-11.00804,True,True
2508,2019,2018-09-08,2019-09-20,2019-05-25,408,FLO,5.0,25.0,9.0,8.0,9.0,20.0,RGI60-11.00804,True,True
2512,2010,2009-10-11,2010-09-21,2010-04-07,371,FLO,4.0,7.0,10.0,11.0,9.0,21.0,RGI60-11.02249,True,True
2513,2011,2010-09-21,2011-09-26,2011-04-10,371,FLO,4.0,10.0,9.0,21.0,9.0,26.0,RGI60-11.02249,True,True
2514,2012,2011-09-26,2012-09-25,2012-04-03,371,FLO,4.0,3.0,9.0,26.0,9.0,25.0,RGI60-11.02249,True,True
2515,2013,2012-09-25,2013-09-13,2013-04-23,371,FLO,4.0,23.0,9.0,25.0,9.0,13.0,RGI60-11.02249,True,True
2516,2014,2013-09-13,2014-09-11,2014-04-17,371,FLO,4.0,17.0,9.0,13.0,9.0,11.0,RGI60-11.02249,True,True
2517,2015,2014-09-11,2015-09-21,2015-04-20,371,FLO,4.0,20.0,9.0,11.0,9.0,21.0,RGI60-11.02249,True,True
2518,2016,2015-09-21,2016-09-14,2016-04-19,371,FLO,4.0,19.0,9.0,21.0,9.0,14.0,RGI60-11.02249,True,True
2519,2017,2016-09-14,2017-09-08,2017-04-30,371,FLO,4.0,30.0,9.0,14.0,9.0,8.0,RGI60-11.02249,True,True
2520,2018,2017-09-08,2018-10-10,2018-04-25,371,FLO,4.0,25.0,9.0,8.0,10.0,10.0,RGI60-11.02249,True,True
2521,2019,2018-10-10,2019-09-15,2019-05-01,371,FLO,5.0,1.0,10.0,10.0,9.0,15.0,RGI60-11.02249,True,True
2529,2015,2014-04-26,2015-05-14,2014-12-20,3905,COM,12.0,20.0,4.0,26.0,5.0,14.0,RGI60-17.14887,False,True
2538,1980,1979-04-01,1980-03-31,1979-09-30,1344,COM,9.0,30.0,4.0,1.0,3.0,31.0,RGI60-17.13715,True,True
2539,1981,1980-04-01,1981-03-31,1980-09-30,1344,COM,9.0,30.0,4.0,1.0,3.0,31.0,RGI60-17.13715,True,True
2540,1982,1981-04-01,1982-03-31,1981-09-30,1344,COM,9.0,30.0,4.0,1.0,3.0,31.0,RGI60-17.13715,True,True
2541,1983,1982-04-01,1983-03-31,1982-09-30,1344,COM,9.0,30.0,4.0,1.0,3.0,31.0,RGI60-17.13715,True,True
2542,1984,1983-04-01,1984-03-31,1983-09-30,1344,COM,9.0,30.0,4.0,1.0,3.0,31.0,RGI60-17.13715,True,True
2543,1985,1984-04-01,1985-03-31,1984-09-30,1344,COM,9.0,30.0,4.0,1.0,3.0,31.0,RGI60-17.13715,True,True
2544,1986,1985-04-01,1986-03-31,1985-09-30,1344,COM,9.0,30.0,4.0,1.0,3.0,31.0,RGI60-17.13715,True,True
2545,1987,1986-04-01,1987-03-31,1986-09-30,1344,COM,9.0,30.0,4.0,1.0,3.0,31.0,RGI60-17.13715,True,True
2546,1988,1987-04-01,1988-03-31,1987-09-30,1344,COM,9.0,30.0,4.0,1.0,3.0,31.0,RGI60-17.13715,True,True
2547,1989,1988-04-01,1989-03-31,1988-09-30,1344,COM,9.0,30.0,4.0,1.0,3.0,31.0,RGI60-17.13715,True,True
2548,1990,1989-04-01,1990-03-31,1989-09-30,1344,COM,9.0,30.0,4.0,1.0,3.0,31.0,RGI60-17.13715,True,True
2549,1991,1990-04-01,1991-03-31,1990-09-30,1344,COM,9.0,30.0,4.0,1.0,3.0,31.0,RGI60-17.13715,True,True
2550,1992,1991-04-01,1992-03-31,1991-09-30,1344,COM,9.0,30.0,4.0,1.0,3.0,31.0,RGI60-17.13715,True,True
2551,1993,1992-04-01,1993-03-31,1992-09-30,1344,COM,9.0,30.0,4.0,1.0,3.0,31.0,RGI60-17.13715,True,True
2552,1994,1993-04-01,1994-03-31,1993-09-30,1344,COM,9.0,30.0,4.0,1.0,3.0,31.0,RGI60-17.13715,True,True
2553,1995,1994-04-01,1995-03-31,1994-09-30,1344,COM,9.0,30.0,4.0,1.0,3.0,31.0,RGI60-17.13715,True,True
2554,1996,1995-04-01,1996-03-31,1995-09-30,1344,COM,9.0,30.0,4.0,1.0,3.0,31.0,RGI60-17.13715,True,True
2555,1997,1996-04-01,1997-03-31,1996-09-30,1344,COM,9.0,30.0,4.0,1.0,3.0,31.0,RGI60-17.13715,True,True
2556,1998,1997-04-01,1998-03-31,1997-09-30,1344,COM,9.0,30.0,4.0,1.0,3.0,31.0,RGI60-17.13715,True,True
2557,1999,1998-04-01,1999-03-31,1998-09-30,1344,COM,9.0,30.0,4.0,1.0,3.0,31.0,RGI60-17.13715,True,True
2558,2000,1999-04-01,2000-03-31,1999-09-30,1344,COM,9.0,30.0,4.0,1.0,3.0,31.0,RGI60-17.13715,True,True
2559,2001,2000-04-01,2001-03-31,2000-09-30,1344,COM,9.0,30.0,4.0,1.0,3.0,31.0,RGI60-17.13715,True,True
2560,2002,2001-04-01,2002-03-31,2001-09-30,1344,COM,9.0,30.0,4.0,1.0,3.0,31.0,RGI60-17.13715,True,True
2561,2003,2002-04-01,2003-03-31,2002-09-30,1344,COM,9.0,30.0,4.0,1.0,3.0,31.0,RGI60-17.13715,True,True
2562,2004,2003-04-01,2004-03-31,2003-09-30,1344,COM,9.0,30.0,4.0,1.0,3.0,31.0,RGI60-17.13715,True,True
2563,2005,2004-04-01,2005-03-31,2004-09-30,1344,,9.0,30.0,4.0,1.0,3.0,31.0,RGI60-17.13715,True,True
2564,2006,2005-04-01,2006-03-31,2005-09-30,1344,,9.0,30.0,4.0,1.0,3.0,31.0,RGI60-17.13715,True,True
2565,2007,2006-04-01,2007-03-31,2006-09-30,1344,,9.0,30.0,4.0,1.0,3.0,31.0,RGI60-17.13715,True,True
2566,2008,2007-04-01,2008-03-31,2007-09-30,1344,,9.0,30.0,4.0,1.0,3.0,31.0,RGI60-17.13715,True,True
2567,2009,2008-04-01,2009-03-31,2008-09-30,1344,,9.0,30.0,4.0,1.0,3.0,31.0,RGI60-17.13715,True,True
2568,2010,2009-04-01,2010-03-31,2009-09-30,1344,,9.0,30.0,4.0,1.0,3.0,31.0,RGI60-17.13715,True,True
2569,2011,2010-04-01,2011-03-31,2010-09-30,1344,,9.0,30.0,4.0,1.0,3.0,31.0,RGI60-17.13715,True,True
2592,2011,2010-04-01,2011-03-31,2010-10-31,3983,COM,10.0,31.0,4.0,1.0,3.0,31.0,RGI60-17.14868,False,True
2593,2012,2011-04-01,2012-03-31,2011-10-31,3983,COM,10.0,31.0,4.0,1.0,3.0,31.0,RGI60-17.14868,False,True
2594,2013,2012-04-01,2013-03-31,2012-10-31,3983,COM,10.0,31.0,4.0,1.0,3.0,31.0,RGI60-17.14868,False,True
2595,2014,2013-04-01,2014-03-31,2013-10-31,3983,COM,10.0,31.0,4.0,1.0,3.0,31.0,RGI60-17.14868,False,True
2797,1996,1995-08-31,1996-09-01,1996-05-01,1511,FXD,5.0,1.0,8.0,31.0,9.0,1.0,RGI60-13.45335,True,True
2798,1997,1996-09-01,1997-08-31,1997-05-02,1511,FXD,5.0,2.0,9.0,1.0,8.0,31.0,RGI60-13.45335,True,True
2799,1998,1997-08-31,1998-09-01,1998-05-01,1511,FXD,5.0,1.0,8.0,31.0,9.0,1.0,RGI60-13.45335,True,True
2800,1999,1998-09-01,1999-08-29,1999-05-01,1511,FXD,5.0,1.0,9.0,1.0,8.0,29.0,RGI60-13.45335,True,True
2801,2000,1999-08-29,2000-08-30,2000-05-03,1511,FXD,5.0,3.0,8.0,29.0,8.0,30.0,RGI60-13.45335,True,True
2809,2008,2007-08-30,2008-09-08,2008-06-05,1511,FXD,6.0,5.0,8.0,30.0,9.0,8.0,RGI60-13.45335,True,True
2810,2009,2008-09-09,2009-09-17,2009-05-02,1511,FXD,5.0,2.0,9.0,9.0,9.0,17.0,RGI60-13.45335,True,True
2811,2010,2009-09-17,2010-09-07,2010-05-02,1511,FXD,5.0,2.0,9.0,17.0,9.0,7.0,RGI60-13.45335,True,True
2812,2011,2010-09-11,2011-09-06,2011-05-02,1511,FXD,5.0,2.0,9.0,11.0,9.0,6.0,RGI60-13.45335,True,True
2813,2012,2011-09-13,2012-09-01,2012-05-02,1511,FXD,5.0,2.0,9.0,13.0,9.0,1.0,RGI60-13.45335,True,True
2814,2013,2012-09-01,2013-08-29,2013-05-03,1511,FXD,5.0,3.0,9.0,1.0,8.0,29.0,RGI60-13.45335,True,True
2815,2014,2013-08-29,2014-09-01,2014-05-03,1511,FXD,5.0,3.0,8.0,29.0,9.0,1.0,RGI60-13.45335,True,True
2816,2015,2014-09-01,2015-08-28,2015-04-27,1511,FXD,4.0,27.0,9.0,1.0,8.0,28.0,RGI60-13.45335,True,True
2817,2016,2015-08-28,2016-09-02,2016-05-02,1511,FXD,5.0,2.0,8.0,28.0,9.0,2.0,RGI60-13.45335,True,True
2818,2017,2016-09-02,2017-08-26,2017-04-28,1511,FXD,4.0,28.0,9.0,2.0,8.0,26.0,RGI60-13.45335,True,True
2819,2018,2017-08-27,2018-08-28,2018-04-27,1511,FXD,4.0,27.0,8.0,27.0,8.0,28.0,RGI60-13.45335,True,True
2820,2019,2018-08-28,2019-08-28,2019-04-29,1511,FXD,4.0,29.0,8.0,28.0,8.0,28.0,RGI60-13.45335,True,True
2838,1996,1995-08-31,1996-09-02,1996-05-02,1512,FXD,5.0,2.0,8.0,31.0,9.0,2.0,RGI60-13.45334,True,True
2839,1997,1996-09-02,1997-09-02,1997-05-01,1512,FXD,5.0,1.0,9.0,2.0,9.0,2.0,RGI60-13.45334,True,True
2840,1998,1997-09-02,1998-09-02,1998-05-02,1512,FXD,5.0,2.0,9.0,2.0,9.0,2.0,RGI60-13.45334,True,True
2841,1999,1998-09-02,1999-08-29,1999-05-01,1512,FXD,5.0,1.0,9.0,2.0,8.0,29.0,RGI60-13.45334,True,True
2842,2000,1999-08-29,2000-08-31,2000-05-01,1512,FXD,5.0,1.0,8.0,29.0,8.0,31.0,RGI60-13.45334,True,True
2850,2008,2007-08-30,2008-09-08,2008-06-05,1512,FXD,6.0,5.0,8.0,30.0,9.0,8.0,RGI60-13.45334,True,True
2851,2009,2008-09-09,2009-09-17,2009-05-02,1512,FXD,5.0,2.0,9.0,9.0,9.0,17.0,RGI60-13.45334,True,True
2852,2010,2009-09-17,2010-09-07,2010-05-02,1512,FXD,5.0,2.0,9.0,17.0,9.0,7.0,RGI60-13.45334,True,True
2853,2011,2010-09-11,2011-09-06,2011-05-02,1512,FXD,5.0,2.0,9.0,11.0,9.0,6.0,RGI60-13.45334,True,True
2854,2012,2011-09-13,2012-09-02,2012-05-03,1512,FXD,5.0,3.0,9.0,13.0,9.0,2.0,RGI60-13.45334,True,True
2855,2013,2012-09-02,2013-08-29,2013-05-02,1512,FXD,5.0,2.0,9.0,2.0,8.0,29.0,RGI60-13.45334,True,True
2856,2014,2013-08-29,2014-09-01,2014-05-03,1512,FXD,5.0,3.0,8.0,29.0,9.0,1.0,RGI60-13.45334,True,True
2857,2015,2014-09-01,2015-09-02,2015-04-27,1512,FXD,4.0,27.0,9.0,1.0,9.0,2.0,RGI60-13.45334,True,True
2858,2016,2015-09-02,2016-09-01,2016-05-03,1512,FXD,5.0,3.0,9.0,2.0,9.0,1.0,RGI60-13.45334,True,True
2859,2017,2016-09-01,2017-08-26,2017-04-29,1512,FXD,4.0,29.0,9.0,1.0,8.0,26.0,RGI60-13.45334,True,True
2860,2018,2017-08-27,2018-08-28,2018-04-27,1512,FXD,4.0,27.0,8.0,27.0,8.0,28.0,RGI60-13.45334,True,True
2861,2019,2018-08-28,2019-08-28,2019-04-29,1512,FXD,4.0,29.0,8.0,28.0,8.0,28.0,RGI60-13.45334,True,True
2967,2008,2007-10-22,2008-09-28,2008-06-19,942,FXD,6.0,19.0,10.0,22.0,9.0,28.0,RGI60-11.03209,True,True
2968,2009,2008-09-28,2009-10-14,2009-06-12,942,FXD,6.0,12.0,9.0,28.0,10.0,14.0,RGI60-11.03209,True,True
